Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	0.353603	0.390145	87.627998	86.809998	
0.100000	0.352414	0.392300	87.514000	86.729996	
0.100000	0.353933	0.377095	87.639999	87.029999	
0.100000	0.352397	0.382670	87.680000	86.889999	
0.100000	0.356236	0.394872	87.627998	86.439995	
0.100000	0.354518	0.396467	87.501999	86.479996	
0.100000	0.355437	0.397276	87.543999	86.419998	
0.100000	0.356960	0.391469	87.643997	86.709999	
0.100000	0.355930	0.386637	87.571999	86.659996	
0.100000	0.354398	0.381611	87.559998	87.049995	
0.100000	0.351899	0.383754	87.729996	86.860001	
0.100000	0.350971	0.387768	87.701996	86.930000	
0.100000	0.351878	0.386467	87.636002	86.879997	
0.100000	0.351735	0.383573	87.785995	86.829994	
0.100000	0.353599	0.376186	87.639999	87.269997	
0.100000	0.354830	0.395546	87.529999	86.309998	
0.100000	0.351995	0.388159	87.783997	86.879997	
0.010000	0.281635	0.334616	90.362000	88.869995	
0.010000	0.246335	0.325008	91.535995	88.860001	
0.010000	0.234960	0.323019	91.905998	89.099998	
0.010000	0.221144	0.318953	92.362000	89.339996	
0.010000	0.208632	0.317911	92.877998	89.379997	
0.010000	0.203559	0.316628	93.209999	89.769997	
0.010000	0.196509	0.315614	93.353996	89.570000	
0.010000	0.188699	0.315613	93.584000	89.669998	
0.010000	0.181986	0.319390	93.799995	89.589996	
0.010000	0.177451	0.317023	93.986000	89.849998	
0.010000	0.168494	0.318937	94.257996	89.739998	
0.010000	0.172780	0.323945	94.043999	89.619995	
0.010000	0.162805	0.322937	94.375999	89.669998	
0.010000	0.157860	0.334915	94.645996	89.509995	
0.010000	0.154373	0.333400	94.701996	89.489998	
0.010000	0.158054	0.327363	94.556000	89.579994	
0.010000	0.148494	0.327061	94.935997	89.599998	
0.010000	0.148607	0.332784	94.841995	89.599998	
0.010000	0.146106	0.336023	94.991997	89.559998	
0.010000	0.145190	0.344800	95.087997	89.379997	
0.010000	0.141781	0.349932	95.125999	89.290001	
0.010000	0.138883	0.344140	95.234001	89.439995	
0.010000	0.137558	0.347162	95.251999	89.489998	
0.010000	0.137983	0.348192	95.320000	89.470001	
0.010000	0.138236	0.344535	95.290001	89.250000	
0.010000	0.134370	0.345154	95.423996	89.189995	
0.010000	0.134015	0.347742	95.365997	89.430000	
0.010000	0.133943	0.346031	95.442001	89.220001	
0.010000	0.129455	0.355139	95.621994	89.220001	
0.010000	0.131316	0.358058	95.549995	89.209999	
0.010000	0.128066	0.362985	95.680000	88.809998	
0.010000	0.132244	0.362413	95.470001	89.169998	
0.010000	0.136105	0.361076	95.271996	89.209999	
0.010000	0.134983	0.357457	95.346001	89.119995	
0.010000	0.128850	0.362755	95.579994	89.009995	
0.010000	0.128172	0.362259	95.587997	88.979996	
0.010000	0.127736	0.353109	95.603996	89.320000	
0.010000	0.130452	0.355445	95.453995	89.110001	
0.010000	0.131819	0.364020	95.458000	88.889999	
0.010000	0.129392	0.366217	95.551994	89.059998	
0.010000	0.128731	0.367586	95.629997	88.900002	
0.010000	0.127423	0.354047	95.589996	89.489998	
0.010000	0.128416	0.365265	95.573997	88.949997	
0.010000	0.128012	0.370457	95.517998	89.079994	
0.010000	0.129529	0.365913	95.545998	89.009995	
0.010000	0.125312	0.370036	95.677994	89.320000	
0.010000	0.129141	0.377362	95.582001	88.919998	
0.010000	0.128416	0.372846	95.484001	89.279999	
0.010000	0.122906	0.384308	95.769997	88.879997	
0.010000	0.128957	0.375453	95.598000	88.879997	
0.001000	0.108268	0.357707	96.349998	89.379997	
0.001000	0.093943	0.353013	96.837997	89.599998	
0.001000	0.094420	0.351539	96.877998	89.610001	
0.001000	0.085330	0.348246	97.346001	89.699997	
0.001000	0.084512	0.347599	97.239998	89.829994	
0.001000	0.079743	0.346867	97.409996	89.809998	
0.001000	0.080361	0.348114	97.445999	89.759995	
0.001000	0.076192	0.348937	97.613998	89.889999	
0.001000	0.076248	0.349631	97.629997	89.909996	
0.001000	0.071112	0.350272	97.773994	89.860001	
0.001000	0.072861	0.348965	97.779999	89.989998	
0.001000	0.071060	0.348651	97.793999	89.939995	
0.001000	0.071318	0.350390	97.741997	89.829994	
0.001000	0.067627	0.352224	97.902000	89.939995	
0.001000	0.067264	0.352906	97.967995	90.009995	
0.001000	0.066865	0.353261	97.965996	89.900002	
0.001000	0.065743	0.351249	97.917999	89.970001	
0.001000	0.066381	0.351935	97.944000	90.079994	
0.001000	0.062852	0.352140	98.113998	89.919998	
0.001000	0.061948	0.353376	98.157997	89.989998	
0.001000	0.062362	0.356328	98.063995	89.949997	
0.001000	0.060576	0.356189	98.180000	89.839996	
0.001000	0.061770	0.353859	98.138000	90.009995	
0.001000	0.057330	0.355599	98.311996	89.949997	
0.001000	0.057359	0.355810	98.318001	90.079994	
0.001000	0.058958	0.352567	98.208000	89.930000	
0.001000	0.056411	0.356510	98.313995	89.790001	
0.001000	0.057836	0.359799	98.349998	89.829994	
0.001000	0.056255	0.355760	98.299995	89.860001	
0.001000	0.056207	0.356894	98.309998	89.820000	
0.001000	0.056618	0.357704	98.281998	89.820000	
0.001000	0.054371	0.359103	98.360001	89.889999	
0.001000	0.055430	0.359212	98.337997	89.860001	
0.001000	0.054098	0.359658	98.337997	89.979996	
0.001000	0.053977	0.359625	98.377998	89.879997	
0.001000	0.053682	0.359158	98.425995	89.759995	
0.001000	0.052168	0.362508	98.416000	89.790001	
0.001000	0.051464	0.360922	98.529999	89.829994	
0.001000	0.049163	0.362665	98.549995	89.949997	
0.001000	0.049750	0.364002	98.585999	89.869995	
0.001000	0.049196	0.361213	98.579994	89.939995	
0.001000	0.049685	0.362638	98.577995	89.919998	
0.001000	0.047126	0.364574	98.697998	89.809998	
0.001000	0.049096	0.360373	98.631996	90.019997	
0.001000	0.046400	0.364885	98.671997	89.939995	
0.001000	0.048824	0.368454	98.554001	89.799995	
0.001000	0.047921	0.367291	98.635994	89.939995	
0.001000	0.047530	0.370197	98.563995	89.879997	
0.001000	0.046924	0.368281	98.701996	89.720001	
0.001000	0.047280	0.370980	98.613998	89.820000	
